named_labels,model,variable,horizon_years,value
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,fiscal_resources_deviation_linear,20.0,-2.514469612943017e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,fiscal_resources_deviation_linear,30.0,-1.2756947712627098e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,fiscal_resources_deviation_linear,40.0,-4.105267730132487e-06
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,0.0,-0.00037734361664878817
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,0.25,-0.0003579795867406811
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,0.5,-0.00033960925498390936
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,1.0,-0.00030564832948551846
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,2.0,-0.00024757514688327
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,3.0,-0.00020053586897544865
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,5.0,-0.0001315715836347919
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,7.5,-7.769170442050837e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,10.0,-4.587617454326617e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,15.0,-1.5996032977501352e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,20.0,-5.577471826383372e-06
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,30.0,-6.780903657248536e-07
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,fiscal_resources_deviation_linear,40.0,-8.243995817491949e-08
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,0.0,-0.00037734361664878817
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,0.25,-0.0003576071221418618
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,0.5,-0.00033892345660657756
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,1.0,-0.0003044756978048893
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,2.0,-0.0002457663527616742
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,3.0,-0.00019821106995202622
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,5.0,-0.00012756495759525267
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,7.5,-6.923576810227792e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,10.0,-3.0293889654024487e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,15.0,1.8111448518248627e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,20.0,4.5693000650472316e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,30.0,6.38353394940556e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.95,fiscal_resources_deviation_linear,40.0,5.294119109531113e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,0.0,1.161097098851355e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,0.25,-0.00015539607548028354
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,0.5,-0.0002780936642066082
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,1.0,-0.00044692621355145494
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,2.0,-0.0005854733397524056
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,3.0,-0.0005859649585873118
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,5.0,-0.00045763577679817853
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,7.5,-0.0002888683942737113
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,10.0,-0.0001738688468128862
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,15.0,-6.107122822698275e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,20.0,-2.130818652874665e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,30.0,-2.5907438478104894e-06
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,claim_loading_state_functional,40.0,-3.149741318458795e-07
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,0.0,1.161097098851355e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,0.25,2.4065614769853456e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,0.5,9.542447887264805e-20
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,1.0,1.026950755530315e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,2.0,-1.1155305373524407e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,3.0,1.0538567807107175e-19
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,5.0,-6.143518005561697e-20
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,claim_loading_state_functional,7.5,-2.52159554987948e-19
